participants_answers_table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantId,participantShort,horizontal-bar-chart-1,Horizontal1-Loss,Horizontal1-LogLoss,horizontal-bar-chart-2,Horizontal2-Loss,Horizontal2-LogLoss,horizontal-bar-chart-3,Horizontal3-Loss,Horizontal3-LogLoss,horizontal-bar-chart-4,Horizontal4-Loss,Horizontal4-LogLoss,horizontal-bar-chart-5,Horizontal5-Loss,Horizontal5-LogLoss,horizontal-bar-chart-6,Horizontal6-Loss,Horizontal6-LogLoss,horizontal-bar-chart-7,Horizontal7-Loss,Horizontal7-LogLoss,pie-chart-1,Pie1-Loss,Pie1-LogLoss,pie-chart-2,Pie2-Loss,Pie2-LogLoss,pie-chart-3,Pie3-Loss,Pie3-LogLoss,pie-chart-4,Pie4-Loss,Pie4-LogLoss,pie-chart-5,Pie5-Loss,Pie5-LogLoss,pie-chart-6,Pie6-Loss,Pie6-LogLoss,pie-chart-7,Pie7-Loss,Pie7-LogLoss,vertical-bar-chart-1,Vertical1-Loss,Vertical1-LogLoss,vertical-bar-chart-2,Vertical2-Loss,Vertical2-LogLoss,vertical-bar-chart-3,Vertical3-Loss,Vertical3-LogLoss,vertical-bar-chart-4,Vertical4-Loss,Vertical4-LogLoss,vertical-bar-chart-5,Vertical5-Loss,Vertical5-LogLoss,vertical-bar-chart-6,Vertical6-Loss,Vertical6-LogLoss,vertical-bar-chart-7,Vertical7-Loss,Vertical7-LogLoss,
CORRECT,CORRECT,20,-,,26,-,,65,-,,38,-,,39,-,,76,-,,89,-,,11,-,,12,-,,32,-,,47,-,,55,-,,85,-,,90,-,,22,-,,25,-,,67,-,,45,-,,58,-,,78,-,,88,-,,
17e53273-c351-420b-8f39-3d69c60a05d4,17e53273,30,10,3.339850003,30,4,2.044394119,10,55,5.784634846,16,22,4.46760555,23,16,4.011227255,7,69,6.11113567,3,86,6.428360173,80,69,6.11113567,20,8,3.022367813,25,7,2.832890014,65,18,4.17990909,30,25,4.651051691,55,30,4.912889336,49,41,5.361943774,35,13,3.714245518,20,5,2.357552005,11,56,5.810571635,15,30,4.912889336,12,46,5.527477006,8,70,6.131856961,3,85,6.411510988,
cca1cf15-fb1c-4842-acc6-2c3494390bd4,cca1cf15,70,50,5.647458426,25,1,0.169925001,6,59,5.885696373,45,7,2.832890014,45,6,2.614709844,75,1,0.169925001,92,3,1.64385619,80,69,6.11113567,87,75,6.231221181,76,44,5.463524373,68,21,4.400879436,55,0,0,80,5,2.357552005,5,85,6.411510988,30,8,3.022367813,20,5,2.357552005,15,52,5.703903573,40,5,2.357552005,32,26,4.707359132,8,70,6.131856961,3,85,6.411510988,
383872ce-15b8-447f-93d9-4bf574ae5e0e,383872ce,80,60,5.909893084,74,48,5.588714636,53,12,3.599912842,62,24,4.592457037,62,23,4.531381461,25,51,5.675957033,11,78,6.28771238,67,56,5.810571635,75,63,5.980139578,70,38,5.252665432,33,14,3.820178962,33,22,4.46760555,50,35,5.13442632,18,72,6.172427509,78,56,5.810571635,30,5,2.357552005,33,34,5.092757141,55,10,3.339850003,74,16,4.011227255,22,56,5.810571635,12,76,6.250298418,
dbfce7f5-ca59-4602-9024-34020b497706,dbfce7f5,30,10,3.339850003,30,4,2.044394119,10,55,5.784634846,15,23,4.531381461,20,19,4.257387843,8,68,6.09011242,4,85,6.411510988,90,79,6.306061689,80,68,6.09011242,75,43,5.430452552,70,23,4.531381461,35,20,4.330916878,55,30,4.912889336,55,35,5.13442632,35,13,3.714245518,20,5,2.357552005,10,57,5.836050355,15,30,4.912889336,15,43,5.430452552,8,70,6.131856961,5,83,6.37721053,
f6aa1220-d2b1-4d1f-8116-e5b2d9595e5d,f6aa1220,40,20,4.330916878,30,4,2.044394119,10,55,5.784634846,20,18,4.17990909,20,19,4.257387843,10,66,6.047123912,5,84,6.394462695,95,84,6.394462695,95,83,6.37721053,75,43,5.430452552,66,19,4.257387843,45,10,3.339850003,65,20,4.330916878,45,45,5.495855027,50,28,4.813781191,18,7,2.832890014,8,59,5.885696373,17,28,4.813781191,16,42,5.396604781,10,68,6.09011242,5,83,6.37721053,
2e496d46-c265-4fee-8e43-e88b8a17d058,2e496d46,29,9,3.189824559,27,1,0.169925001,65,0,0,39,1,0.169925001,38,1,0.169925001,76,0,0,89,0,0,17,6,2.614709844,18,6,2.614709844,75,43,5.430452552,33,14,3.820178962,33,22,4.46760555,90,5,2.357552005,54,36,5.174925683,22,0,0,25,0,0,67,0,0,45,0,0,58,0,0,75,3,1.64385619,92,4,2.044394119,
05bee259-ef69-43a1-893d-6ee0c7ba06fb,05bee259,18,2,1.087462841,26,0,0,65,0,0,63,25,4.651051691,41,2,1.087462841,76,0,0,13,76,6.250298418,18,7,2.832890014,82,70,6.131856961,16,16,4.011227255,49,2,1.087462841,67,12,3.599912842,82,3,1.64385619,82,8,3.022367813,22,0,0,25,0,0,50,17,4.098032083,45,0,0,58,0,0,78,0,0,13,75,6.231221181,
da526538-67b5-48d4-a910-647eb9d80c2b,da526538,17,3,1.64385619,25,1,0.169925001,62,3,1.64385619,41,3,1.64385619,43,4,2.044394119,76,0,0,92,3,1.64385619,90,79,6.306061689,11,1,0.169925001,25,7,2.832890014,33,14,3.820178962,65,10,3.339850003,82,3,1.64385619,55,35,5.13442632,22,0,0,25,0,0,69,2,1.087462841,44,1,0.169925001,56,2,1.087462841,72,6,2.614709844,92,4,2.044394119,
0a77b4d8-896e-48c4-aeb6-8cfec64d794b,0a77b4d8,80,60,5.909893084,60,34,5.092757141,33,32,5.005624549,62,24,4.592457037,60,21,4.400879436,21,55,5.784634846,7,82,6.35974956,75,64,6.002815016,75,63,5.980139578,67,35,5.13442632,52,5,2.357552005,52,3,1.64385619,18,67,6.068778278,18,72,6.172427509,78,56,5.810571635,71,46,5.527477006,33,34,5.092757141,55,10,3.339850003,42,16,4.011227255,23,55,5.784634846,12,76,6.250298418,
4e6f38aa-495f-421c-aa44-f1233da9d44b,4e6f38aa,20,0,0,28,2,1.087462841,65,0,0,38,0,0,41,2,1.087462841,76,0,0,89,0,0,9,2,1.087462841,11,1,0.169925001,27,5,2.357552005,33,14,3.820178962,33,22,4.46760555,10,75,6.231221181,5,85,6.411510988,22,0,0,25,0,0,7,60,5.909893084,45,0,0,58,0,0,75,3,1.64385619,88,0,0,
